
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4401,Rick Mahorn,1988-89,30,DET,NBA,72,61,1795,4.1,7.9,4.1,7.8,0.0,0.0,2.3,3.1,2.8,7.1,9.9,1.2,0.8,1.3,1.9,4.1,10.5,.517,.519,.000,.517,.748,.566
4402,Rick Mahorn,1989-90,31,PHI,NBA,75,66,2271,5.0,10.0,4.9,9.8,0.0,0.1,2.9,4.1,2.6,6.4,9.0,1.6,0.7,1.6,1.6,4.0,12.9,.497,.501,.222,.498,.715,.546
4403,Rick Mahorn,1990-91,32,PHI,NBA,80,74,2439,3.9,8.3,3.9,8.1,0.0,0.1,2.8,3.5,2.2,6.9,9.2,1.7,1.2,0.8,1.9,4.1,10.5,.467,.475,.000,.467,.788,.535
4404,Rick Mahorn,1992-93,34,NJN,NBA,74,9,1077,3.4,7.2,3.3,7.1,0.0,0.1,2.9,3.7,3.1,6.2,9.3,1.1,0.6,1.0,1.9,5.2,9.7,.472,.474,.333,.474,.800,.554
4405,John Mahnken,1951-52,29,BOS,NBA,60,,581,4.8,14.1,4.8,14.1,,,1.6,2.7,,,8.2,3.9,,,,5.6,11.3,.344,.344,,.344,.605,.370
4406,John Mahnken,1952-53,30,BOS,NBA,69,,771,3.5,11.8,3.5,11.8,,,1.8,2.6,,,8.5,3.5,,,,5.1,8.9,.302,.302,,.302,.696,.345
4407,Ian Mahinmi,2011-12,25,DAL,NBA,61,12,1139,4.1,7.5,4.1,7.5,0.0,0.0,3.0,4.6,3.4,5.7,9.1,0.4,1.2,1.0,1.6,5.6,11.2,.546,.549,.000,.546,.639,.585
4408,Ian Mahinmi,2012-13,26,IND,NBA,80,2,1322,4.1,9.0,4.1,8.9,0.0,0.1,2.8,4.7,3.1,5.3,8.5,0.7,1.1,1.8,2.5,5.5,10.9,.453,.456,.000,.453,.608,.497
4409,Ian Mahinmi,2013-14,27,IND,NBA,77,1,1248,2.6,5.5,2.6,5.4,0.0,0.0,2.6,4.2,3.1,4.3,7.4,0.7,1.2,2.1,1.7,6.0,7.8,.481,.484,.000,.481,.621,.538
4410,Ian Mahinmi,2014-15,28,IND,NBA,61,6,1146,3.7,6.7,3.7,6.7,0.0,0.0,1.0,3.2,3.3,7.9,11.2,1.0,0.9,1.4,1.9,5.4,8.3,.552,.552,,.552,.304,.516
4411,Ian Mahinmi,2015-16,29,IND,NBA,71,71,1816,5.2,8.9,5.2,8.9,0.0,0.0,2.6,4.5,2.7,7.3,10.1,2.1,1.3,1.5,2.0,4.4,13.1,.589,.589,,.589,.587,.603
4412,Jamaal Magloire,2000-01,22,CHH,NBA,74,0,1095,4.0,8.9,4.0,8.8,0.0,0.1,3.1,4.8,3.4,6.3,9.7,0.9,0.6,2.6,2.0,4.6,11.1,.450,.454,.000,.450,.655,.506
4413,Jamaal Magloire,2001-02,23,CHH,NBA,82,8,1549,5.3,9.6,5.3,9.6,0.0,0.0,5.6,7.7,3.6,7.2,10.7,0.7,0.6,2.0,2.7,4.7,16.2,.551,.552,.000,.551,.730,.624
4414,Jamaal Magloire,2002-03,24,NOH,NBA,82,82,2443,4.5,9.4,4.5,9.3,0.0,0.0,3.4,4.7,3.8,6.8,10.7,1.3,0.7,1.6,2.3,4.1,12.4,.480,.483,.000,.480,.717,.541
4415,Jamaal Magloire,2003-04,25,NOH,NBA,82,82,2777,5.0,10.5,5.0,10.5,0.0,0.0,4.6,6.1,3.5,7.5,11.0,1.1,0.6,1.3,2.6,3.6,14.5,.473,.474,.000,.473,.751,.551
4416,Jamaal Magloire,2005-06,27,MIL,NBA,82,82,2465,4.2,9.0,4.2,9.0,0.0,0.0,2.6,4.9,3.2,8.1,11.4,0.8,0.4,1.2,2.4,4.0,11.0,.467,.467,,.467,.535,.494
4417,Jamaal Magloire,2006-07,28,POR,NBA,81,23,1703,4.2,8.3,4.2,8.3,0.0,0.0,2.8,5.1,3.2,7.2,10.4,0.6,0.4,1.4,2.7,4.8,11.2,.504,.504,,.504,.541,.527
4418,Corey Maggette,1999-00,20,ORL,NBA,77,5,1370,5.9,12.3,5.8,12.0,0.1,0.3,5.2,6.9,3.2,4.7,8.0,1.6,0.6,0.7,3.6,4.4,17.0,.478,.485,.182,.480,.751,.553
4419,Corey Maggette,2002-03,23,LAC,NBA,64,57,2006,6.2,13.9,5.0,10.7,1.1,3.2,5.8,7.3,1.4,4.4,5.8,2.2,1.0,0.3,2.6,3.5,19.3,.444,.471,.350,.484,.802,.564
4420,Corey Maggette,2003-04,24,LAC,NBA,73,72,2628,6.2,13.9,5.2,10.7,1.0,3.2,7.2,8.5,1.3,4.6,5.9,3.1,0.9,0.2,2.8,3.0,20.7,.447,.482,.329,.485,.848,.586
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
4421,Corey Maggette,2004-05,25,LAC,NBA,66,60,2436,6.3,14.6,5.5,12.1,0.8,2.5,8.3,9.7,1.0,4.8,5.8,3.3,1.0,0.1,2.9,2.8,21.6,.431,.457,.304,.457,.857,.574
4422,Corey Maggette,2006-07,27,LAC,NBA,75,31,2291,5.8,12.7,5.6,11.7,0.2,1.0,8.2,9.9,1.4,5.5,6.9,3.3,1.0,0.2,3.2,3.8,19.9,.454,.476,.200,.462,.820,.583
4423,Corey Maggette,2007-08,28,LAC,NBA,70,65,2502,6.6,14.4,5.5,11.5,1.1,2.9,8.0,9.8,1.1,4.5,5.7,2.7,1.0,0.1,2.8,3.0,22.3,.458,.477,.384,.497,.812,.595
4424,Corey Maggette,2009-10,30,GSW,NBA,70,49,2081,7.9,15.3,7.7,14.5,0.2,0.9,8.0,9.5,1.6,4.9,6.5,3.0,0.9,0.1,2.9,4.0,24.0,.516,.531,.260,.523,.835,.615
4425,Mark Madsen,2000-01,25,LAL,NBA,70,3,641,3.1,6.3,3.0,6.3,0.1,0.1,1.5,2.1,4.2,4.4,8.5,1.3,0.4,0.4,1.5,6.2,7.7,.487,.482,1.000,.491,.703,.530
4426,Mark Madsen,2003-04,28,MIN,NBA,72,12,1246,2.9,5.9,2.9,5.7,0.0,0.2,1.6,3.4,3.9,4.0,7.9,0.8,1.0,0.5,1.4,5.1,7.5,.495,.510,.000,.495,.483,.506
4427,Kyle Macy,1980-81,23,PHO,NBA,82,,1469,6.7,13.0,6.4,11.8,0.3,1.2,2.6,2.9,1.1,2.2,3.2,3.9,1.9,0.1,2.3,2.9,16.2,.511,.541,.235,.523,.899,.567
4428,Kyle Macy,1981-82,24,PHO,NBA,82,72,2845,6.1,12.0,5.7,10.7,0.5,1.3,1.9,2.1,1.0,2.3,3.3,4.9,1.8,0.1,1.6,2.3,14.7,.514,.529,.390,.535,.899,.570
4429,Kyle Macy,1982-83,25,PHO,NBA,82,9,1836,6.4,12.4,6.0,10.9,0.5,1.5,2.5,2.9,0.8,2.4,3.2,5.5,1.3,0.2,1.8,2.5,15.8,.517,.547,.303,.535,.872,.578
4430,Kyle Macy,1983-84,26,PHO,NBA,82,45,2402,5.4,10.7,5.0,9.6,0.3,1.0,1.4,1.7,0.7,2.1,2.8,5.3,1.8,0.1,1.7,2.7,12.5,.501,.519,.329,.517,.833,.545
4431,Kyle Macy,1984-85,27,PHO,NBA,65,52,2018,5.0,10.4,4.6,8.9,0.4,1.5,2.3,2.5,0.6,2.6,3.2,6.8,1.5,0.1,2.0,2.3,12.7,.485,.521,.271,.504,.907,.555
4432,Kyle Macy,1985-86,28,CHI,NBA,82,79,2426,4.2,8.8,3.4,6.7,0.9,2.1,1.1,1.3,0.6,2.0,2.6,6.6,1.2,0.2,1.7,3.0,10.4,.483,.506,.411,.532,.811,.557
4433,Kyle Macy,1986-87,29,IND,NBA,76,0,1250,4.7,9.8,4.3,8.5,0.4,1.3,1.0,1.2,0.7,2.5,3.3,5.7,1.7,0.2,1.7,3.9,10.8,.481,.508,.304,.501,.829,.524
4434,Mark Macon,1991-92,22,DEN,NBA,76,67,2304,5.2,13.9,5.1,13.4,0.1,0.5,2.1,2.9,1.2,2.2,3.4,2.6,2.4,0.2,2.4,3.8,12.6,.375,.383,.133,.377,.730,.415
4435,Don MacLean,1993-94,24,WSB,NBA,75,69,2487,7.5,14.9,7.4,14.6,0.0,0.3,4.7,5.8,2.0,4.7,6.8,2.3,0.7,0.3,2.2,2.4,19.8,.502,.509,.143,.503,.824,.566
4436,Rudy Macklin,1981-82,23,ATL,NBA,79,32,1516,5.0,11.5,5.0,11.4,0.0,0.1,3.2,4.1,2.7,3.6,6.2,1.1,0.9,0.5,2.7,5.3,13.2,.434,.437,.000,.434,.775,.495
4437,Rudy Macklin,1982-83,24,ATL,NBA,73,20,1171,5.2,11.1,5.2,10.9,0.0,0.1,3.1,4.0,2.6,3.2,5.8,2.2,1.3,0.3,2.7,5.8,13.6,.472,.478,.000,.472,.771,.528
