
,,,,,,Totals,Totals,Totals,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3301,Kareem Rush,2004-05,24,TOT,NBA,48,22,968,10.1,.337,.118,2.3,8.5,5.2,12.2,1.1,0.5,9.9,21.7,96,112,-0.2,0.3,0.1,.003,-1.2,-2.5,-3.8,-0.4
3302,Kareem Rush,2005-06,25,CHA,NBA,47,25,1111,9.8,.350,.164,1.8,9.5,5.4,7.7,1.8,0.9,11.4,22.7,91,109,-1.0,0.7,-0.2,-.010,-2.6,-1.7,-4.3,-0.6
3303,Kareem Rush,2007-08,27,IND,NBA,71,15,1504,10.0,.460,.074,1.3,11.0,6.1,9.3,1.4,1.0,9.5,18.7,98,110,-0.2,1.2,1.0,.033,-1.9,-1.3,-3.1,-0.4
3304,Kareem Rush,2008-09,28,PHI,NBA,25,1,199,6.3,.569,.069,0.0,9.1,4.5,11.5,1.3,0.4,14.3,16.0,92,111,-0.1,0.1,0.0,-.003,-3.6,-2.2,-5.7,-0.2
3305,Kareem Rush,2009-10,29,LAC,NBA,7,0,58,4.8,.273,.000,2.0,10.0,6.0,10.0,1.8,3.8,21.4,10.9,80,109,-0.1,0.1,0.0,-.019,-6.1,1.7,-4.5,0.0
3306,Brandon Rush,2008-09,23,IND,NBA,75,19,1803,9.0,.363,.115,2.1,12.3,7.1,5.4,1.0,1.5,11.0,16.4,97,111,-0.4,1.3,0.9,.024,-2.6,-0.9,-3.4,-0.7
3307,Brandon Rush,2009-10,24,IND,NBA,82,64,2491,9.6,.430,.127,1.8,13.5,7.6,6.9,1.1,1.9,11.1,14.8,99,108,0.0,2.5,2.5,.047,-2.1,0.7,-1.3,0.4
3308,Brandon Rush,2010-11,25,IND,NBA,67,21,1754,10.6,.433,.206,2.1,11.6,6.9,5.6,1.2,1.5,10.9,15.9,104,108,0.9,1.7,2.6,.070,-1.1,-0.1,-1.2,0.4
3309,Brandon Rush,2011-12,26,GSW,NBA,65,1,1717,15.2,.467,.175,2.2,14.4,8.3,7.9,1.1,2.6,11.9,15.4,115,110,2.9,0.6,3.5,.099,1.1,-0.4,0.7,1.2
3310,Brandon Rush,2012-13,27,GSW,NBA,2,0,25,11.9,.222,.333,0.0,4.3,2.2,14.5,0.0,0.0,22.5,23.9,104,113,0.0,0.0,0.0,.051,-1.8,-5.3,-7.1,0.0
3311,Brandon Rush,2013-14,28,UTA,NBA,38,0,418,4.1,.522,.056,1.3,11.1,6.1,8.5,0.6,1.7,17.8,12.3,83,114,-0.5,0.0,-0.4,-.050,-5.0,-1.3,-6.3,-0.4
3312,Brandon Rush,2014-15,29,GSW,NBA,33,0,271,0.8,.500,.204,1.6,14.3,8.2,5.4,0.9,3.3,15.8,11.2,59,103,-0.7,0.4,-0.3,-.056,-7.7,1.8,-6.0,-0.3
3313,Brandon Rush,2015-16,30,GSW,NBA,72,25,1055,10.1,.604,.108,2.3,15.4,9.2,7.0,0.9,1.6,10.8,12.5,108,106,0.8,1.2,2.0,.090,-1.2,-0.2,-1.3,0.2
3314,Stefano Rusconi,1995-96,27,PHO,NBA,7,0,30,2.4,.000,.556,11.8,11.4,11.6,14.5,0.0,5.0,21.1,21.1,78,111,-0.1,0.0,-0.1,-.104,-7.4,-0.2,-7.6,0.0
3315,Jeff Ruland,1981-82,23,WSB,NBA,82,0,2214,18.8,.004,.607,12.7,24.7,18.8,9.1,1.0,1.5,20.0,22.4,111,100,3.7,4.1,7.8,.170,1.0,1.5,2.6,2.6
3316,Jeff Ruland,1982-83,24,WSB,NBA,79,47,2862,19.4,.003,.518,11.2,22.6,16.8,12.9,1.2,1.5,18.7,23.0,107,98,4.6,5.5,10.1,.169,1.9,2.4,4.3,4.6
3317,Jeff Ruland,1983-84,25,WSB,NBA,75,75,3082,19.6,.007,.614,10.0,24.8,17.4,14.9,1.1,1.3,20.6,23.0,111,105,5.0,4.3,9.3,.144,2.2,2.1,4.3,4.9
3318,Jeff Ruland,1984-85,26,WSB,NBA,37,36,1436,17.0,.005,.665,9.5,22.3,15.7,15.8,1.0,1.1,24.0,21.6,105,104,1.1,2.2,3.3,.111,0.2,2.2,2.5,1.6
3319,Jeff Ruland,1985-86,27,WSB,NBA,30,24,1114,20.0,.010,.522,10.4,20.6,15.5,22.2,1.0,1.3,20.4,22.2,111,104,1.9,1.6,3.5,.151,2.7,1.9,4.6,1.8
3320,Jeff Ruland,1986-87,28,PHI,NBA,5,2,116,16.1,.000,.429,12.2,15.5,13.9,12.8,0.0,2.0,23.1,15.7,120,111,0.2,0.1,0.3,.132,1.1,-0.9,0.2,0.1
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,PER,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
3321,Jeff Ruland,1991-92,33,PHI,NBA,13,5,209,6.1,.000,.421,8.8,16.8,12.9,3.4,1.7,1.2,30.8,13.7,90,109,-0.2,0.2,0.0,.006,-4.8,0.0,-4.8,-0.1
3322,Jeff Ruland,1992-93,34,DET,NBA,11,0,55,5.2,.000,.364,17.3,19.0,18.1,4.9,1.9,0.0,32.0,14.6,86,106,-0.1,0.1,0.0,-.007,-5.1,0.4,-4.7,0.0
