
,,,,,,Totals,Totals,Totals,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Per 36 Minutes,Shooting,Shooting,Shooting,Shooting,Shooting,Shooting
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2201,Dan Roundfield,1980-81,27,ATL,NBA,63,,2128,7.2,13.7,7.2,13.7,0.0,0.0,4.3,6.0,3.9,6.8,10.7,2.7,1.3,2.0,3.0,4.4,18.7,.527,.528,.000,.527,.721,.575
2202,Dan Roundfield,1981-82,28,ATL,NBA,61,58,2217,6.9,14.8,6.9,14.7,0.0,0.1,4.6,6.1,3.7,8.0,11.7,2.6,1.0,1.5,3.0,3.4,18.4,.466,.467,.200,.466,.760,.527
2203,Dan Roundfield,1982-83,29,ATL,NBA,77,76,2811,7.2,15.3,7.1,14.9,0.1,0.3,4.3,5.8,3.3,8.0,11.3,2.9,0.8,1.5,3.1,3.1,18.7,.470,.477,.185,.472,.749,.526
2204,Dan Roundfield,1983-84,30,ATL,NBA,73,72,2610,6.9,14.3,6.9,14.2,0.0,0.2,5.2,6.7,2.8,7.1,9.9,2.5,0.8,1.0,2.8,3.0,19.0,.485,.490,.000,.485,.770,.551
2205,Dan Roundfield,1985-86,32,WSB,NBA,79,21,2321,5.0,10.2,5.0,10.1,0.0,0.1,4.2,5.6,3.3,6.7,10.0,2.6,0.6,0.8,2.9,3.0,14.2,.488,.492,.000,.488,.754,.560
2206,Scott Roth,1989-90,26,MIN,NBA,71,3,1061,5.4,14.3,4.8,12.5,0.6,1.8,5.1,6.8,1.2,2.6,3.8,3.9,1.7,0.2,2.9,4.9,16.5,.379,.383,.346,.400,.746,.478
2207,Terrence Ross,2012-13,21,TOR,NBA,73,2,1239,5.4,13.3,3.5,7.6,1.9,5.7,0.9,1.2,1.0,3.2,4.2,1.5,1.2,0.4,1.4,3.5,13.6,.407,.464,.332,.478,.714,.491
2208,Terrence Ross,2013-14,22,TOR,NBA,81,62,2159,5.3,12.5,2.6,5.7,2.7,6.8,1.4,1.6,0.7,3.5,4.2,1.3,1.1,0.5,1.5,3.1,14.7,.423,.458,.395,.531,.837,.553
2209,Terrence Ross,2014-15,23,TOR,NBA,82,61,2092,5.3,13.0,2.8,6.2,2.5,6.7,0.8,1.0,0.6,3.3,3.9,1.5,0.9,0.4,1.2,2.3,13.9,.410,.452,.372,.507,.786,.519
2210,Terrence Ross,2015-16,24,TOR,NBA,73,7,1747,5.6,12.9,2.9,5.9,2.7,7.0,1.0,1.3,0.4,3.4,3.8,1.2,1.1,0.5,0.9,2.5,14.8,.431,.484,.386,.536,.790,.551
2211,Quinton Ross,2004-05,23,LAC,NBA,78,19,1659,3.5,8.1,3.5,8.0,0.0,0.1,1.6,2.4,1.3,3.3,4.6,2.4,1.1,0.5,1.2,3.6,8.6,.432,.434,.250,.433,.673,.471
2212,Quinton Ross,2006-07,25,LAC,NBA,81,43,1700,3.7,8.0,3.7,7.8,0.0,0.2,1.4,1.8,1.3,2.8,4.0,1.8,1.5,0.7,0.7,3.8,9.0,.467,.474,.200,.470,.782,.508
2213,Quinton Ross,2007-08,26,LAC,NBA,76,44,1505,3.1,8.0,2.9,7.5,0.2,0.5,1.0,1.4,1.3,2.8,4.1,2.1,1.0,0.8,0.7,3.2,7.4,.391,.389,.429,.404,.667,.430
2214,Dick Rosenthal,1954-55,25,FTW,NBA,67,,1406,5.0,13.4,5.0,13.4,,,3.3,4.6,,,7.7,3.9,,,,4.6,13.4,.377,.377,,.377,.718,.435
2215,Malik Rose,1998-99,24,SAS,NBA,47,0,608,5.5,11.9,5.5,11.8,0.0,0.1,5.8,8.6,5.3,5.4,10.8,1.7,2.4,1.3,3.3,7.1,16.8,.463,.465,.000,.463,.671,.535
2216,Malik Rose,1999-00,25,SAS,NBA,74,3,1341,4.7,10.3,4.7,10.3,0.0,0.1,3.8,5.3,3.6,5.4,9.0,1.3,0.9,1.4,2.7,6.2,13.3,.457,.458,.333,.458,.722,.525
2217,Malik Rose,2001-02,27,SAS,NBA,82,1,1725,6.1,13.2,6.1,13.0,0.0,0.3,3.9,5.4,3.6,6.7,10.3,1.3,1.5,0.9,2.9,4.3,16.1,.463,.470,.083,.464,.720,.517
2218,Malik Rose,2002-03,28,SAS,NBA,79,13,1933,5.4,11.7,5.3,11.6,0.0,0.1,4.5,5.7,2.8,6.7,9.4,2.3,1.1,0.7,3.2,3.8,15.3,.459,.459,.400,.460,.791,.538
2219,Malik Rose,2004-05,30,TOT,NBA,76,5,1475,4.8,10.8,4.8,10.5,0.0,0.2,3.3,4.5,3.1,5.2,8.3,1.4,1.1,0.4,2.5,5.1,13.0,.449,.457,.100,.450,.737,.511
2220,Malik Rose,2005-06,31,NYK,NBA,72,35,1119,3.4,9.0,3.3,9.0,0.0,0.0,3.4,4.4,2.7,5.6,8.3,2.2,1.4,0.5,2.6,4.7,10.2,.374,.371,1.000,.375,.781,.466
Rk,Player,Season,Age,Tm,Lg,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
2221,Jalen Rose,1994-95,22,DEN,NBA,81,37,1798,4.5,10.0,3.8,7.7,0.7,2.3,3.5,4.7,1.1,3.2,4.3,7.8,1.3,0.4,3.2,4.1,13.3,.454,.495,.316,.490,.739,.550
2222,Jalen Rose,1995-96,23,DEN,NBA,80,37,2134,4.9,10.2,4.4,8.4,0.5,1.8,3.2,4.7,0.8,3.6,4.4,8.4,0.9,0.7,3.9,3.9,13.5,.480,.520,.296,.507,.690,.553
2223,Jalen Rose,1997-98,25,IND,NBA,82,0,1706,6.1,12.8,5.6,11.3,0.5,1.5,3.5,4.8,0.6,3.5,4.1,3.3,1.2,0.3,2.8,3.6,16.3,.478,.496,.342,.498,.728,.545
2224,Jalen Rose,1998-99,26,IND,NBA,49,1,1238,5.8,14.4,5.3,12.5,0.5,1.9,3.6,4.6,1.0,3.5,4.5,2.7,1.5,0.4,2.1,3.7,15.8,.403,.425,.262,.420,.791,.479
2225,Jalen Rose,1999-00,27,IND,NBA,80,80,2978,6.8,14.5,5.9,12.1,0.9,2.4,3.1,3.7,0.5,4.2,4.7,3.9,1.0,0.6,2.3,2.8,17.6,.471,.486,.393,.503,.827,.547
2226,Jalen Rose,2000-01,28,IND,NBA,72,72,2943,6.9,15.2,6.2,13.1,0.7,2.1,3.5,4.2,0.5,3.9,4.4,5.3,0.8,0.5,2.6,2.8,18.1,.457,.476,.339,.480,.828,.530
2227,Jalen Rose,2001-02,29,TOT,NBA,83,83,3153,7.6,16.6,6.6,13.8,1.0,2.8,3.2,3.8,0.5,3.8,4.3,4.1,0.9,0.5,2.3,2.9,19.4,.455,.474,.362,.485,.839,.528
